Номенклатура,MAE,MAPE_%,RMSE,R²,График
Голец х/к (вес),0.24419269,31.02649,0.3586468,0.54358685,✅
Вомер вяленый (вес),0.28965747,53.26395,0.34168756,0.8231385,✅
ВАКУУМ Сельдь с/с т/о (кг),0.42926747,19.271788,0.54085433,0.88397646,✅
Рулет г/к из скумбрии фаршированный горбушей (вес),0.49896273,47.133316,0.63063467,0.85255,✅
Кета г/к (вес),0.60312545,78.01901,0.84385276,0.81217605,✅
Мойва вяленая провесная (вес),0.754303,868.3748,0.98348635,0.2551992,✅
Сырок г/к северный (вес),0.8708976,227.61137,1.0158054,-1.4490819,✅
Сардина (иваси) г/к (вес),0.9375456,26.470911,1.4328209,0.39993018,✅
Мойва г/к (вес),0.9730074,110.01661,1.327869,0.5080185,✅
Путассу вяленая (вес),0.9740421,19.923786,1.3009965,0.8491904,✅
Горбуша филе ломтики (шт),1.0194705,74.89301,1.2484401,0.8696821,✅
Чехонь вяленая (вес),1.0278246,339.59662,1.4685594,-0.0062063932,✅
Камбала х/к (вес),1.0928414,232.27525,1.3418611,0.07544458,✅
Хе из сельди Морская миля (шт),1.1318675,70.34863,1.6944256,0.836499,✅
Горбуша с/с (вес),1.2488157,52.3429,1.6904342,0.66246873,✅
Эсколар х/к (вес),1.3705001,121.58196,1.8789074,0.34054095,✅
ВАКУУМ Сельдь х/к атл (кг),1.4165728,238.0305,1.6171936,-0.21365368,✅
Семга с/с (лосось) (вес),1.4354274,151.95267,1.5192405,-1.2377286,✅
Кета х/к теша (шт),1.9312832,161.5596,2.1799083,-0.28780496,✅
Пелядь пр/п (шт),1.9800078,155.414,2.2440283,-0.073702335,✅
Салат из м/к (вес),2.0003495,56.751938,2.3208933,0.29587638,✅
Кальмар г/к (вес),2.0123105,121.924576,2.5150888,0.5925957,✅
ВАКУУМ Скумбрия х/к (кг),2.037459,220.31808,2.4584208,0.17526025,✅
Капуста квашеная (шт),2.0562024,76.47003,2.498048,0.6569512,✅
Сельдь филе-кусочки в майонезе (шт),2.0812757,88.407425,2.2178235,0.598142,✅
Брак х/к,2.1189373,64.097855,2.9039228,-0.06026423,✅
Камбала вяленая (вес),2.3354032,2381.4534,3.1739373,0.09957045,✅
Сардина (иваси) х/к (вес),2.5319965,124.45965,5.1836457,0.20280212,✅
Жерех х/к (вес),2.560955,82.63572,3.2977135,0.30803764,✅
Сардина (иваси) п/п (вес),2.6314836,5.646347e+09,3.5545115,-0.9545138,✅
Судак х/к (вес),2.7799199,449.71228,3.1125548,0.43858874,✅
Брюшки лосося х/к (вес),2.7915113,159.60019,4.645586,0.8909214,✅
Сельдь г/к (вес),2.8086526,37.792015,3.6920242,0.8235204,✅
Язь г/к (вес),2.9639053,201.03247,3.8153899,0.8212111,✅
Щука г/к (вес),3.263888,96.20329,4.463087,0.12639463,✅
Пелядь г/к (шт),3.321835,69.14173,3.4926112,0.3593313,✅
Кета филе-ломтики (шт),3.4489913,89.00306,5.7525268,0.14712459,✅
яяя не исп Сельдь с/с ЗАЛОМ (вес),3.5215688,181.2807,5.355182,0.0829407,✅
Салака пр/п (шт),3.609127,157.14471,4.5812182,0.3686052,✅
Форель с/с (вес),3.7081425,28.77006,6.160527,-0.042000532,✅
Скумбрия пр/п (шт),3.9074523,144.79497,4.9647303,-1.1832192,✅
Сардина (иваси) п/п (шт),3.957124,84.36883,5.688823,0.57534826,✅
Нерка х/к (вес),4.153727,411.2459,5.708797,0.031419277,✅
Морковь по-корейски Морская миля (вес),4.5977883,121.99042,5.513186,0.30982697,✅
Путассу х/к (шт),4.6461344,22.24069,6.1793075,0.9123339,✅
Ряпушка вяленая (вес),4.690879,110.05639,5.6783576,0.05668068,✅
Салака п/п (вес),4.716302,49.74148,6.322304,0.7560097,✅
Плотва  х/к (вес),4.8787317,20.16838,5.4320626,0.5938895,✅
Сайра х/к (вес),5.0171576,301.30316,6.5567126,-0.037710905,✅
Щука х/к (вес),5.094989,32.563778,6.146327,0.5034629,✅
Мойва вяленая (шт),5.342698,216.38226,6.8002586,-2.8408237,✅
Морковь по-корейски Морская миля (шт),5.6658077,296.87302,9.169759,-0.7724383,✅
Вобла вяленая (вес),6.147494,1284.6306,6.7642274,-4.349849,✅
Вомер х/к (вес),6.228946,151.78616,10.625551,0.8114271,✅
Щука вяленая (вес),6.389283,241.63554,8.165631,0.49261993,✅
Судак вяленый (вес),6.677182,2615.4048,7.3742623,0.48250842,✅
Ряпушка х/к (вес),6.7812805,1735.104,9.002622,0.6599334,✅
Красноперка вяленая (вес),6.8582544,1113.6061,7.3042264,-2.3163152,✅
Рулет г/к из горбуши фаршированный скумбрией (вес),6.873648,175.04713,8.407399,0.12697488,✅
Капуста квашеная (вес),7.043493,146.02168,8.191834,0.43043053,✅
Корюшка х/к (шт),7.2909102,41.18968,8.776288,0.8386103,✅
Мойва г/к (шт),7.3243575,1.3374787e+10,9.0274,-6.483374,✅
Окунь х/к (вес) речной,7.424825,531.3471,8.227929,-0.28000712,✅
Филе сельди с/с (вес),7.4944572,218.56299,10.396356,0.26650536,✅
Окунь вяленый (вес) речной,7.844821,728.43964,8.946747,0.4030004,✅
Кета х/к теша (вес),7.856491,230.51479,10.1677685,0.55242395,✅
Карась х/к (вес),7.8767548,18.89387,10.669023,0.86170787,✅
Салат из м/к (шт),8.120508,274.2373,8.476946,0.5611956,✅
Скумбрия филе ломтики (шт),8.494924,2.188564e+10,11.561886,-2.3578796,✅
Плотва вяленая (вес),9.500238,147.42958,10.580846,0.220976,✅
Брак сельди с/с АТЛ,9.588572,43.24407,11.0641365,0.6171906,✅
Корюшка х/к (вес),9.687235,97.77031,14.809165,0.5263164,✅
Лещ х/к (вес),9.695204,717.8012,14.635087,0.5714605,✅
Брак сельди с/с т/о,9.77136,144.3743,11.17028,-0.5652267,✅
Горбуша г/к (вес),11.013518,832.657,13.84756,-3.1487732,✅
Корюшка вяленая (вес),11.086317,232.1776,17.07918,0.049644828,✅
Сельдь х/к Т/О (вес),11.554499,60.03065,14.788846,-1.577112,✅
Сырок вяленый северный (вес),11.723169,298.45044,14.003443,0.47297555,✅
Мойва х/к (вес),11.848833,272.16214,23.087202,0.09547883,✅
Путассу х/к (вес),12.126285,29.252571,13.664586,0.469828,✅
Сельдь филе (шт),13.452063,148.60846,14.899216,0.51950943,✅
Карась г/к (вес),14.5880995,295.53247,20.953413,-0.23827815,✅
Сельдь с/с тушка,16.466433,148.58614,18.684448,0.25932443,✅
Сельдь пр/п (шт),16.622356,75.52842,19.674957,0.20649397,✅
Мойва п/п (вес) атл.,17.093464,46.87069,23.45066,-0.46027398,✅
Пелядь вяленая (шт),17.838047,29.515488,20.96874,0.89137304,✅
Скумбрия х/к Т/О (вес),21.574657,99.46127,26.263008,0.6885685,✅
Мойва пресервы (шт),22.405407,80.69285,24.541422,-0.064778686,✅
Карась вяленый (вес),22.835384,365.9305,27.853996,-0.20202899,✅
Красноперка х/к (вес),23.294216,3381.8142,24.950663,-4.570643,✅
Лещ вяленый (вес),25.010834,214.9901,30.788525,0.21247363,✅
Сырок х/к северный (вес),25.15195,4835.973,41.409706,-0.23764622,✅
Килька пресервы (шт),25.194458,54.919933,30.01703,0.74755704,✅
Сельдь Х/К атл (вес),26.763275,552.5141,33.78062,0.22470987,✅
Корюшка вяленая (шт),27.093647,92.35123,32.319927,-2.7381105,✅
Окунь г/к МОРСКОЙ (вес),27.324078,987.1004,40.03263,0.57506603,✅
Форель х/к (вес),28.750202,106.456696,30.664217,0.58936584,✅
Кета х/к (вес),31.275019,355.09372,56.902737,-0.30713904,✅
Пелядь  х/к (шт),32.34539,56.230366,41.41727,-0.075149536,✅
Пелядь г/к (вес),34.117382,985.8129,37.796085,0.50629675,✅
Килька п/п (вес),40.28884,204.00238,53.006805,0.68446034,✅
Мойва х/к (шт),49.04459,23.628939,63.59622,0.7763382,✅
Скумбрия п/п (вес),51.278725,106.0574,69.031136,-0.66786027,✅
Горбуша х/к (вес),51.925495,416.91595,65.61491,-0.37899065,✅
Скумбрия г/к АТЛАНТИКА (вес),56.9317,1019.6669,63.1199,0.47628146,✅
Язь х/к (вес),59.998127,144.45195,88.25335,0.4911359,✅
Пелядь вяленая (вес),68.036705,2638.4536,79.88207,0.7185646,✅
Сельдь филе-кусочки (шт),109.93492,687.91656,163.23428,0.63062847,✅
Сельдь с/с т/о (вес),164.84543,18.198431,202.1494,0.8174332,✅
Пелядь  х/к (вес),185.39209,4173.42,228.32715,0.20547473,✅
Скумбрия х/к атл (вес),193.025,737.77734,239.38396,0.43855816,✅
Сельдь с/с АТЛАНТИЧЕСКАЯ (вес),542.8824,1170.8577,620.83496,0.5530625,✅
